"ignore","type","question","compare","against","predict"
FALSE,low,opt.obvious,expected_success,uniform,less
FALSE,low,opt.obvious,unexpected_failure,uniform,less
FALSE,high,opt.obvious,obvious_success,uniform,greater
FALSE,high,opt.obvious,obvious_failure,uniform,greater
FALSE,low,opt.obvious,expected_failure,uniform,less
FALSE,low,opt.obvious,unexpected_success,uniform,less
FALSE,low,opt.balanced,expected_success,uniform,greater
FALSE,low,opt.balanced,unexpected_failure,uniform,greater
FALSE,high,opt.balanced,obvious_success,uniform,less
FALSE,high,opt.balanced,obvious_failure,uniform,less
FALSE,low,opt.balanced,expected_failure,uniform,greater
FALSE,low,opt.balanced,unexpected_success,uniform,greater
FALSE,low,opt.nobad,expected_success,uniform,greater
FALSE,low,opt.nobad,unexpected_failure,uniform,greater
FALSE,high,opt.nobad,obvious_success,uniform,less
FALSE,high,opt.nobad,obvious_failure,uniform,less
FALSE,high,opt.nobad,expected_failure,uniform,less
FALSE,high,opt.nobad,unexpected_success,uniform,less
FALSE,high,opt.nogood,expected_success,uniform,less
FALSE,high,opt.nogood,unexpected_failure,uniform,less
FALSE,high,opt.nogood,obvious_success,uniform,less
FALSE,high,opt.nogood,obvious_failure,uniform,less
FALSE,high,opt.nogood,expected_failure,uniform,greater
FALSE,high,opt.nogood,unexpected_success,uniform,greater
FALSE,high,opt.stakes,expected_success,uniform,less
FALSE,high,opt.stakes,unexpected_failure,uniform,less
FALSE,high,opt.stakes,obvious_success,uniform,less
FALSE,high,opt.stakes,obvious_failure,uniform,less
FALSE,high,opt.stakes,expected_failure,uniform,less
FALSE,high,opt.stakes,unexpected_success,uniform,less
FALSE,high,out.fair,expected_success,uniform,greater
FALSE,high,out.unfair,expected_success,uniform,less
FALSE,high,out.fair,obvious_success(main),uniform,greater
FALSE,high,out.unfair,obvious_success(main),uniform,less
FALSE,high,out.sense,expected_success,uniform,greater
FALSE,high,out.broken,expected_success,uniform,less
FALSE,high,out.sense,obvious_success(main),uniform,greater
FALSE,high,out.broken,obvious_success(main),uniform,less
FALSE,high,out.good,expected_success,uniform,greater
FALSE,high,out.bad,expected_success,uniform,less
FALSE,high,out.good,obvious_success(main),uniform,greater
FALSE,high,out.bad,obvious_success(main),uniform,less
FALSE,high,out.happy,expected_success,uniform,greater
FALSE,high,out.regret,expected_success,uniform,less
FALSE,high,out.happy,obvious_success(main),uniform,greater
FALSE,high,out.regret,obvious_success(main),uniform,less
FALSE,high,out.expected,expected_success,uniform,greater
FALSE,high,out.unexpected,expected_success,uniform,less
FALSE,high,out.expected,obvious_success(main),uniform,greater
FALSE,high,out.unexpected,obvious_success(main),uniform,less
FALSE,high,out.fair,expected_failure,uniform,greater
FALSE,high,out.unfair,expected_failure,uniform,less
FALSE,high,out.fair,obvious_success(alt),uniform,greater
FALSE,high,out.fair,obvious_success[alt],uniform,greater
FALSE,high,out.unfair,obvious_success(alt),uniform,less
FALSE,high,out.unfair,obvious_success[alt],uniform,less
FALSE,high,out.sense,expected_failure,uniform,greater
FALSE,high,out.broken,expected_failure,uniform,less
FALSE,high,out.sense,obvious_success(alt),uniform,greater
FALSE,high,out.sense,obvious_success[alt],uniform,greater
FALSE,high,out.broken,obvious_success(alt),uniform,less
FALSE,high,out.broken,obvious_success[alt],uniform,less
FALSE,high,out.good,expected_failure,uniform,less
FALSE,high,out.bad,expected_failure,uniform,greater
FALSE,high,out.good,obvious_success(alt),uniform,less
FALSE,high,out.good,obvious_success[alt],uniform,less
FALSE,high,out.bad,obvious_success(alt),uniform,greater
FALSE,high,out.bad,obvious_success[alt],uniform,greater
FALSE,high,out.expected,expected_failure,uniform,greater
FALSE,high,out.unexpected,expected_failure,uniform,less
FALSE,high,out.expected,obvious_success(alt),uniform,greater
FALSE,high,out.expected,obvious_success[alt],uniform,greater
FALSE,high,out.unexpected,obvious_success(alt),uniform,less
FALSE,high,out.unexpected,obvious_success[alt],uniform,less
FALSE,high,out.fair,unexpected_success,uniform,greater
FALSE,high,out.unfair,unexpected_success,uniform,less
FALSE,high,out.fair,obvious_failure(alt),uniform,greater
FALSE,high,out.fair,obvious_failure[alt],uniform,greater
FALSE,high,out.unfair,obvious_failure(alt),uniform,less
FALSE,high,out.unfair,obvious_failure[alt],uniform,less
FALSE,high,out.sense,unexpected_success,uniform,greater
FALSE,high,out.broken,unexpected_success,uniform,less
FALSE,high,out.sense,obvious_failure(alt),uniform,greater
FALSE,high,out.sense,obvious_failure[alt],uniform,greater
FALSE,high,out.broken,obvious_failure(alt),uniform,less
FALSE,high,out.broken,obvious_failure[alt],uniform,less
FALSE,high,out.good,unexpected_success,uniform,greater
FALSE,high,out.bad,unexpected_success,uniform,less
FALSE,high,out.good,obvious_failure(alt),uniform,greater
FALSE,high,out.good,obvious_failure[alt],uniform,greater
FALSE,high,out.bad,obvious_failure(alt),uniform,less
FALSE,high,out.bad,obvious_failure[alt],uniform,less
FALSE,high,out.happy,unexpected_success,uniform,greater
FALSE,high,out.regret,unexpected_success,uniform,less
FALSE,high,out.happy,obvious_failure(alt),uniform,greater
FALSE,high,out.happy,obvious_failure[alt],uniform,greater
FALSE,high,out.regret,obvious_failure(alt),uniform,less
FALSE,high,out.regret,obvious_failure[alt],uniform,less
FALSE,high,out.expected,unexpected_success,uniform,less
FALSE,high,out.unexpected,unexpected_success,uniform,greater
FALSE,high,out.expected,obvious_failure(alt),uniform,less
FALSE,high,out.expected,obvious_failure[alt],uniform,less
